sky_id,obj_id,ra,dec,epoch,tract,patch,target_type_id,input_catalog_id,version
3511403074,31037855295,102.33529223753729,35.255625011878514,J2000.0,14800,,2,1007,20230209
3511427408,31037879629,102.28282948259131,35.287262362079055,J2000.0,14800,,2,1007,20230209
3511408465,31037860686,102.27022353403217,35.293699798237306,J2000.0,14800,,2,1007,20230209
3511424965,31037877186,102.27072552122934,35.29321815434952,J2000.0,14800,,2,1007,20230209
3511419587,31037871808,102.28148872398825,35.29090990475595,J2000.0,14800,,2,1007,20230209
3511412890,31037865111,102.28502768610225,35.29178731702777,J2000.0,14800,,2,1007,20230209
3511403600,31037855821,102.28243489126166,35.29336292858304,J2000.0,14800,,2,1007,20230209
3511427760,31037879981,102.28300803116355,35.29466177672658,J2000.0,14800,,2,1007,20230209
3511428101,31037880322,102.31327943160004,35.26859639977632,J2000.0,14800,,2,1007,20230209
3511417003,31037869224,102.31625601920429,35.26673455191729,J2000.0,14800,,2,1007,20230209
3511423894,31037876115,102.31836263993993,35.26789604926767,J2000.0,14800,,2,1007,20230209
3511412968,31037865189,102.3191960815244,35.26930799463377,J2000.0,14800,,2,1007,20230209
3511401030,31037853251,102.3237075690489,35.26920563849929,J2000.0,14800,,2,1007,20230209
3511423806,31037876027,102.31815276402135,35.27465281022567,J2000.0,14800,,2,1007,20230209
3511419430,31037871651,102.32084368933108,35.27419351284659,J2000.0,14800,,2,1007,20230209
3511418438,31037870659,102.32746754124366,35.268156457358295,J2000.0,14800,,2,1007,20230209
3511424232,31037876453,102.33521014633756,35.27033903479533,J2000.0,14800,,2,1007,20230209
3511415801,31037868022,102.33883013478632,35.26900083065286,J2000.0,14800,,2,1007,20230209
3511425322,31037877543,102.30286610261169,35.28233436753573,J2000.0,14800,,2,1007,20230209
3511427983,31037880204,102.31071946568952,35.28299845060487,J2000.0,14800,,2,1007,20230209
3511416180,31037868401,102.29732793839806,35.29227580015933,J2000.0,14800,,2,1007,20230209
3511401987,31037854208,102.28749844388857,35.298490759027715,J2000.0,14800,,2,1007,20230209
3511426208,31037878429,102.2878706551559,35.2983490743303,J2000.0,14800,,2,1007,20230209
3511426798,31037879019,102.29089327751207,35.2974905702676,J2000.0,14800,,2,1007,20230209
3511420795,31037873016,102.3088299933406,35.29574418458541,J2000.0,14800,,2,1007,20230209
3511411308,31037863529,102.31627737849804,35.28069173680476,J2000.0,14800,,2,1007,20230209
3511399893,31037852114,102.31671979451741,35.28796520405567,J2000.0,14800,,2,1007,20230209
3511409126,31037861347,102.31907642088585,35.288361705335674,J2000.0,14800,,2,1007,20230209
3511418619,31037870840,102.3265754300652,35.29028364639966,J2000.0,14800,,2,1007,20230209
3511408178,31037860399,102.22742013425992,35.33048557468442,J2000.0,14800,,2,1007,20230209
3511398557,31037850778,102.22766174527698,35.33102843338942,J2000.0,14800,,2,1007,20230209
3511405720,31037857941,102.2322436955491,35.3386334183967,J2000.0,14800,,2,1007,20230209
3511424479,31037876700,102.16244231452588,35.36468699369515,J2000.0,14800,,2,1007,20230209
3511408247,31037860468,102.17248255336642,35.361338891117455,J2000.0,14800,,2,1007,20230209
3511400351,31037852572,102.15887512943961,35.36964224095469,J2000.0,14800,,2,1007,20230209
3511427652,31037879873,102.17105110270347,35.36731481502336,J2000.0,14800,,2,1007,20230209
3511410288,31037862509,102.18605001799338,35.349947467232305,J2000.0,14800,,2,1007,20230209
3511403167,31037855388,102.19202582526098,35.352674501942445,J2000.0,14800,,2,1007,20230209
3511421037,31037873258,102.1984200316062,35.34683205205131,J2000.0,14800,,2,1007,20230209
3511402808,31037855029,102.19675216836781,35.351186221617816,J2000.0,14800,,2,1007,20230209
3511424247,31037876468,102.1968135011732,35.351460093637876,J2000.0,14800,,2,1007,20230209
3511397744,31037849965,102.19859182794423,35.35163653306354,J2000.0,14800,,2,1007,20230209
3511413965,31037866186,102.19936233117474,35.3529889873127,J2000.0,14800,,2,1007,20230209
3511427028,31037879249,102.18967119956157,35.35476416982365,J2000.0,14800,,2,1007,20230209
3511426716,31037878937,102.1893328809178,35.35799108128862,J2000.0,14800,,2,1007,20230209
3511410939,31037863160,102.1902673669875,35.36033085343408,J2000.0,14800,,2,1007,20230209
3511423417,31037875638,102.22433207940686,35.34549329602985,J2000.0,14800,,2,1007,20230209
3511422866,31037875087,102.23032755386939,35.35137648212322,J2000.0,14800,,2,1007,20230209
3511419256,31037871477,102.1790245492984,35.375484866749254,J2000.0,14800,,2,1007,20230209
3511412857,31037865078,102.18314773044278,35.38131535569105,J2000.0,14800,,2,1007,20230209
3511406819,31037859040,102.2564342247334,35.319405568211714,J2000.0,14800,,2,1007,20230209
3511423045,31037875266,102.26421572651455,35.301729778395654,J2000.0,14800,,2,1007,20230209
3511407356,31037859577,102.25929253882991,35.30532994791566,J2000.0,14800,,2,1007,20230209
3511409805,31037862026,102.25995947722208,35.30702823861944,J2000.0,14800,,2,1007,20230209
3511400098,31037852319,102.26458852779736,35.31235295712634,J2000.0,14800,,2,1007,20230209
3511410153,31037862374,102.26138053540684,35.31524390349429,J2000.0,14800,,2,1007,20230209
3511418841,31037871062,102.28401575940403,35.313905914049215,J2000.0,14800,,2,1007,20230209
3511403196,31037855417,102.28366342932844,35.314733000017824,J2000.0,14800,,2,1007,20230209
3511402204,31037854425,102.23733587706315,35.32773757296037,J2000.0,14800,,2,1007,20230209
3511404909,31037857130,102.23459384438843,35.33136521356547,J2000.0,14800,,2,1007,20230209
3511404960,31037857181,102.24748836819917,35.32559675465691,J2000.0,14800,,2,1007,20230209
3511402289,31037854510,102.23660950328313,35.33185849247066,J2000.0,14800,,2,1007,20230209
3511411929,31037864150,102.23760526014243,35.331739662099274,J2000.0,14800,,2,1007,20230209
3511400772,31037852993,102.24193592254751,35.337531921442256,J2000.0,14800,,2,1007,20230209
3511403950,31037856171,102.24088854960449,35.33792442090718,J2000.0,14800,,2,1007,20230209
3511398267,31037850488,102.24253791757843,35.338286263802466,J2000.0,14800,,2,1007,20230209
3511424696,31037876917,102.25089299008691,35.334707695916556,J2000.0,14800,,2,1007,20230209
3511401312,31037853533,102.25064437020633,35.33780182581334,J2000.0,14800,,2,1007,20230209
3511405586,31037857807,102.25605476863952,35.33566463431541,J2000.0,14800,,2,1007,20230209
3511404628,31037856849,102.26046918642463,35.32685045355098,J2000.0,14800,,2,1007,20230209
3511414765,31037866986,102.27449559208611,35.32328039399673,J2000.0,14800,,2,1007,20230209
3511401340,31037853561,102.27251954795919,35.325633265112614,J2000.0,14800,,2,1007,20230209
3511399649,31037851870,102.26413474513924,35.33468628933892,J2000.0,14800,,2,1007,20230209
3511403984,31037856205,102.27174596400435,35.33299251831665,J2000.0,14800,,2,1007,20230209
3511420535,31037872756,102.2713888799889,35.33358352526467,J2000.0,14800,,2,1007,20230209
3511407634,31037859855,102.27985094822398,35.32710449271693,J2000.0,14800,,2,1007,20230209
3511404310,31037856531,102.29025946421432,35.29892127925698,J2000.0,14800,,2,1007,20230209
3511417616,31037869837,102.30654195411326,35.299231680964645,J2000.0,14800,,2,1007,20230209
3511412167,31037864388,102.30761467843999,35.29998500532553,J2000.0,14800,,2,1007,20230209
3511417605,31037869826,102.28577020835384,35.313853186978186,J2000.0,14800,,2,1007,20230209
3511404485,31037856706,102.3113723974889,35.30957563994083,J2000.0,14800,,2,1007,20230209
3511423673,31037875894,102.31279236151956,35.29759747928172,J2000.0,14800,,2,1007,20230209
3511414953,31037867174,102.31998960084987,35.30219314229303,J2000.0,14800,,2,1007,20230209
3511402758,31037854979,102.28871842431002,35.32014944877831,J2000.0,14800,,2,1007,20230209
3511425505,31037877726,102.28684851112386,35.32314197930652,J2000.0,14800,,2,1007,20230209
3511405700,31037857921,102.30392526876115,35.31739732875564,J2000.0,14800,,2,1007,20230209
